Test Case,Passed,Expected Result,Actual Result
Results displayed from all Australia vs the sum of all states,False,2807271,2806923
Results Displayed when radius of location is altered with radius being 224 and 229,True,>= 820295,820970
Results Displayed when radius of location is altered with radius being 49 and 54,True,>= 86709,154579
Results Displayed when radius of location is altered with radius being 94 and 99,True,>= 647877,649892
Results Displayed when radius of location is altered with radius being 53 and 58,True,>= 139007,247392
Results Displayed when radius of location is altered with radius being 127 and 132,True,>= 679725,685311
Results displayed when OfferType of query is altered. Location is set to Griffith,True,685,685
Results displayed when OfferType of query is altered. Location is set to Sydney,False,614444,614445
Results displayed for ugg boots in all categories vs results displayed for ugg boots in cars-vans-utes,True,0,0
Results displayed for ugg boots in all categories vs results displayed for ugg boots in home-garden,False,0,63
Results displayed for ugg boots in all categories vs results displayed for ugg boots in jobs,True,0,0
Results displayed for ugg boots in all categories vs results displayed for ugg boots in real-estate,True,0,0
Results displayed for ugg boots in all categories vs results displayed for ugg boots in books-music-games,True,0,0
Results displayed from all Australia vs the sum of all category listings,True,2807295,2439087
Results displayed from all Australia vs the sum of all results >= $5k and <= $5k,False,2807286,2590658
Results displayed for refined free searches compared to their actual price listing,True,Free,Free
Results displayed when PriceType of query is altered.,True,2807297,2807297
Results displayed for Real Estate in Australia and its categories in Australia,True,32291,32291
Results displayed in Real Estate in Australia and its advertisement type in Australia,True,3400,3400
Results displayed in Miscellaneous Goods in Australia and comparation between its offering plus wanted and the total in Australia,True,150233,150233
Results displayed in Clothing And Jewellery in Australia and its sub categories in Australia,False,368559,333629
Results displayed when extra keywords are added to query.,True,<=2807308,212
Results displayed when offer type is altered.,False,32172,32174
