Test Case,Passed,Expected Result,Actual Result
Results displayed from all Australia vs the sum of all states,False,2768583,2768230
Results Displayed when radius of location is altered with radius being 235 and 240,True,>= 808626,810721
Results Displayed when radius of location is altered with radius being 59 and 64,True,>= 265063,388606
Results Displayed when radius of location is altered with radius being 210 and 215,True,>= 806194,806312
Results Displayed when radius of location is altered with radius being 85 and 90,True,>= 627895,634371
Results Displayed when radius of location is altered with radius being 146 and 151,True,>= 679877,686283
Results displayed when OfferType of query is altered. Location is set to Griffith,True,592,592
Results displayed when OfferType of query is altered. Location is set to Sydney,False,603485,603484
Results displayed for ugg boots in all categories vs results displayed for ugg boots in cars-vans-utes,True,0,0
Results displayed for ugg boots in all categories vs results displayed for ugg boots in home-garden,False,0,63
Results displayed for ugg boots in all categories vs results displayed for ugg boots in jobs,True,0,0
Results displayed for ugg boots in all categories vs results displayed for ugg boots in real-estate,True,0,0
Results displayed for ugg boots in all categories vs results displayed for ugg boots in books-music-games,True,0,0
Results displayed from all Australia vs the sum of all category listings,True,2768590,2410323
Results displayed from all Australia vs the sum of all results >= $5k and <= $5k,False,2768589,2554843
Results displayed for refined free searches compared to their actual price listing,True,Free,Free
Results displayed when PriceType of query is altered.,False,2768584,2768586
Results displayed for Real Estate in Australia and its categories in Australia,False,32008,32007
Results displayed in Real Estate in Australia and its advertisement type in Australia,True,3399,3399
Results displayed in Miscellaneous Goods in Australia and comparation between its offering plus wanted and the total in Australia,False,148145,148147
Results displayed in Clothing And Jewellery in Australia and its sub categories in Australia,False,364175,329613
Results displayed when extra keywords are added to query.,True,<=2768595,210
Results displayed when offer type is altered.,False,32148,32150
Results comparing the sum of each category of job with the total number of jobs in Gumtree,True,14098,14098
Results comparing the sum of each type of job with the total number of jobs in Gumtree,False,14098,14079
Results comparing the sum of each type of salary with the total number of jobs in Gumtree,False,14098,11371
Results retrieving jobs from salary type 'HourlyRate' with range from 0 to 15,True,1,245
Results retrieving jobs from salary type 'HourlyRate' with range from 0 to 20,True,1,814
Results retrieving jobs from salary type 'HourlyRate' with range from 0 to 25,True,1,2257
Results retrieving jobs from salary type 'HourlyRate' with range from 0 to 30,True,1,3936
Results retrieving jobs from salary type 'HourlyRate' with range from 0 to 35,True,1,4942
Results retrieving jobs from salary type 'HourlyRate' with range from 0 to 40,True,1,5625
Results retrieving jobs from salary type 'HourlyRate' with range from 0 to 50,True,1,6255
Results retrieving jobs from salary type 'HourlyRate' with range from 0 to 60,True,1,6495
Results retrieving jobs from salary type 'HourlyRate' with range from 0 to 75,True,1,6652
Results retrieving jobs from salary type 'HourlyRate' with range from 0 to 100,True,1,6836
Results retrieving jobs from salary type 'HourlyRate' with range from 0 to 150,True,1,7206
Results retrieving jobs from salary type 'HourlyRate' with range from 15 to 15,True,1,43
Results retrieving jobs from salary type 'HourlyRate' with range from 15 to 20,True,1,487
Results retrieving jobs from salary type 'HourlyRate' with range from 15 to 25,True,1,1785
